자치구,커피전문점수,스타벅스수,스타벅스1개당커피전문점수
강남구,2742,104,26.365384615384617
서초구,1583,60,26.383333333333333
중구,1251,54,23.166666666666668
영등포구,1379,47,29.340425531914892
종로구,1392,43,32.372093023255815
송파구,1635,42,38.92857142857143
마포구,2014,38,53.0
강서구,1301,35,37.17142857142857
광진구,962,24,40.083333333333336
서대문구,844,24,35.166666666666664
용산구,958,24,39.916666666666664
강동구,975,21,46.42857142857143
양천구,792,20,39.6
성북구,978,18,54.333333333333336
은평구,794,17,46.705882352941174
성동구,858,17,50.470588235294116
관악구,1066,16,66.625
금천구,679,15,45.266666666666666
노원구,880,15,58.666666666666664
동작구,797,14,56.92857142857143
구로구,781,13,60.07692307692308
동대문구,857,13,65.92307692307692
중랑구,665,10,66.5
도봉구,496,8,62.0
강북구,571,7,81.57142857142857
